lambda,mean_acc,std_acc,mean_ess,std_ess
0.0,0.6125,0.04122158111960287,53.05686569213867,2.2752625942230225
0.1,0.7203125,0.08064679937852462,42.142704010009766,2.8340659141540527
0.5,0.7640625,0.032551041649999474,38.077674865722656,2.865783929824829
1.0,0.6140625,0.13716222717096715,33.77471160888672,1.2355871200561523
