subject,acc_ce,acc_icrr,ess_ce,ess_icrr
0,0.5069444444444444,0.4982638888888889,15.5983095,13.66707
1,0.4513888888888889,0.4704861111111111,11.56886,9.348423
2,0.5885416666666666,0.5902777777777778,11.729338,10.448053
3,0.5017361111111112,0.5190972222222222,20.253275,16.182167
4,0.4461805555555556,0.4131944444444444,17.429138,15.284745
5,0.3888888888888889,0.4253472222222222,14.792894,12.86126
6,0.7204861111111112,0.6944444444444444,15.582894,14.327607
7,0.7482638888888888,0.703125,21.340645,19.944635
8,0.578125,0.5815972222222222,16.387367,14.5416
