lambda,mean_acc,std_acc,p_acc,d_acc,mean_ess,std_ess,p_ess,d_ess,ess_red_pct
0.0,0.5478395061728395,0.12311130738534934,1.0,0.0,16.075857162475586,3.324521064758301,1.0,0.0,0.0
0.1,0.5439814814814814,0.10654475839783237,0.6774927810201772,-0.14383558059080423,14.067285537719727,3.117933988571167,0.00010609196033328772,2.3533949851989746,12.494336128234863
0.25,0.5397376543209876,0.11608419815449098,0.4897381602124727,-0.24130758866434235,12.340198516845703,3.2847771644592285,1.5081849369380507e-07,5.6407670974731445,23.237695693969727
0.5,0.5250771604938271,0.12192739082679738,0.0836871619981146,-0.6583503328000129,10.791510581970215,3.0391952991485596,2.996138448452257e-07,5.164791584014893,32.87132263183594
1.0,0.5187114197530864,0.12995280997759684,0.1394077050350478,-0.5470287453002686,8.969386100769043,2.611032485961914,1.245836926955235e-07,5.780511856079102,44.20586395263672
